10.80.4.240	0c:c4:7a:ae:99:a8
10.80.4.1	c6:50:82:0d:e8:77
10.80.4.241	b8:27:eb:24:58:82
10.80.4.2	0e:33:c5:c6:1b:cf
10.80.4.202	b0:0c:d1:3d:e1:0d
10.80.4.244	b8:27:eb:69:58:44
10.80.4.23	66:fb:a6:11:18:12
10.80.4.5	f6:ab:57:16:ee:20
10.80.4.24	f2:5c:78:95:b6:fe
10.80.4.25	9e:98:31:ae:1e:f1
10.80.4.6	52:06:ff:37:57:61
10.80.4.26	be:4e:1d:29:8c:7d
10.80.4.246	0c:c4:7a:af:60:44
10.80.4.225	f8:32:e4:bb:51:57
10.80.4.9	8e:cb:fb:15:7c:e8
10.80.4.110	9c:b6:54:2b:0d:80
10.80.4.227	4c:cc:6a:93:1a:c9
10.80.4.224	8e:7c:6c:83:fa:df
10.80.4.249	00:0c:42:c5:52:ee
10.80.4.111	a0:1d:48:3a:5f:80
10.80.4.11	a4:ba:db:40:fc:f1
10.80.4.12	0c:c4:7a:aa:77:d0
10.80.4.251	0c:c4:7a:cc:93:a6
10.80.4.13	0c:c4:7a:ac:1a:5e
10.80.4.14	60:9c:9f:3c:3a:f0
10.80.4.175	0c:c4:7a:4a:e9:c6
10.80.4.253	00:86:9c:2e:60:00
10.80.4.16	0c:c4:7a:cc:98:5c
10.80.4.254	4c:4e:35:3a:1f:a1
10.80.4.233	e0:d5:5e:87:4c:f5
10.80.4.215	b8:ae:ed:77:0b:e9
10.80.4.235	0c:c4:7a:4a:e4:25
10.80.4.236	0c:c4:7a:ab:35:2c
10.80.4.237	4c:cc:6a:b5:d4:07
10.80.4.238	00:0c:29:db:28:76
10.80.4.218	0c:c4:7a:af:67:0c
